Field1_text,Field1_links
 Using Airtable with Make,https://www.make.com/en/help/tutorials/using-airtable-with-make.html
 Using Google Sheets with Make,https://www.make.com/en/help/tutorials/using-google-sheets-with-make.html
 Using Notion with Make,https://www.make.com/en/help/tutorials/using-notion-with-make.html
 Using Telegram Bot with Make,https://www.make.com/en/help/tutorials/using-telegram-bot-with-make.html
Automate invoicing with invoice ninja,https://www.make.com/en/help/tutorials/automate-invoicing-with-invoice-ninja.html
How to fully reset your Google connections,https://www.make.com/en/help/tutorials/how-to-fully-reset-your-google-connections.html
 How to connect Airtable and Google contacts and synchronize contacts between these services,https://www.make.com/en/help/tutorials/how-to-connect-airtable-and-google-contacts-and-synchronize-contacts-between-these-services.html
How to iterate columns of a Google Sheet worksheet,https://www.make.com/en/help/tutorials/how-to-iterate-columns-of-a-google-sheet-worksheet.html
" Calling Microsoft Graph REST API via the ""HTTP Make an OAuth 2.0 request"" module",https://www.make.com/en/help/tutorials/calling-microsoft-graph-rest-api-via-the--http-make-a-oauth-2-0-request--module.html
 Use JSON Generator to create a JSON Data Structure and make an HTTP request using an API Key (SendGrid example),https://www.make.com/en/help/tutorials/use-json-generator-to-create-a-json-data-structure-and-make-an-http-request-using-an-api-key--sendgrid-example-.html
Extract an item and/or its value from an array of collections,https://www.make.com/en/help/tutorials/extract-an-item-and-or-its-value-from-an-array-of-collections.html
" How to connect Email, Text Parser and Google Sheets","https://www.make.com/en/help/tutorials/how-to-connect-email,-text-parser-and-google-sheets.html"
"Calling Google APIs via the ""HTTP Make a OAuth 2.0 request"" module",https://www.make.com/en/help/tutorials/calling-google-apis-via-the--http-make-a-oauth-2-0-request--module.html
 Create a Data Thing or a Bulk of Data Things on Bubble,https://www.make.com/en/help/tutorials/create-a-data-thing-or-a-bulk-of-data-things-on-bubble.html
" How to capture Email and Phone via Webhooks, validate them using Regex and store them in a Data Store","https://www.make.com/en/help/tutorials/how-to-capture-email-and-phone-via-webhooks--on-chatfuel-,-validate-them-using-regex-and-store-them-in-a-data-store.html"
Example of a Default route configured for a router,https://www.make.com/en/help/tutorials/example-of-a-default-route-configured-for-a-router.html
 Mobile app,https://www.make.com/en/help/tutorials/mobile-app.html
 How to connect Chatfuel to Airtable,https://www.make.com/en/help/tutorials/how-to-connect-chatfuel-to-airtable.html
 Get a tweet on Twitter when a new tweet is created in a row in a Google Sheets spreadsheet,https://www.make.com/en/help/tutorials/get-a-tweet-on-twitter-when-a-new-tweet-is-created-in-a-row-in-a-google-sheets-spreadsheet.html
 How to connect Make to any web service that uses OAuth2 authorization,https://www.make.com/en/help/tutorials/how-to-connect-make-to-any-web-service-that-uses-oauth2-authorization.html
How to send a message to a Discord channel via HTTP when a Google Sheet is updated,https://www.make.com/en/help/tutorials/how-to-send-a-message-to-a-discord-channel-via-http-when-a-google-sheet-is-updated.html
 Update Google Sheet row with TwitterID and Date after posting it on Twitter,https://www.make.com/en/help/tutorials/update-google-sheet-row-with-twitterid-and-date-after-posting-it-on-twitter.html
Send data to Make as JSON via an action in a Bubble workflow using the API Connector plugin,https://www.make.com/en/help/tutorials/send-data-to-make-as-json-via-an-action-in-a-bubble-workflow-using-the-api-connector-plugin.html
 Typeform Make Data Stores,https://www.make.com/en/help/tutorials/typeform-make-data-stores.html
How to prevent Google Sheets from changing numbers into dates,https://www.make.com/en/help/tutorials/how-to-prevent-google-sheets-from-changing-numbers-into-dates.html
