Title,Title_URL,Image,Tag
Create an intelligent AI buddy with conversational memory,https://www.voiceflow.com/templates/ai-buddy,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471dada7fb402ea6e9e7_64cd66105ccb832922823bc1_AI%2520Buddy%2520(2).png,LOW CODE BUILDERS
Complete retail chatbot template,https://www.voiceflow.com/templates/complete-retail-chatbot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471b494326c1c1737888_64c7fedc1cf390b1241a6337_retail%2520bot-1.png,LOW CODE BUILDERS
Complete support chatbot template,https://www.voiceflow.com/templates/complete-support-chatbot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471a332fc805f1ec8e6f_64c7f85a214b1263553d0477_support%2520bot.png,LOW CODE BUILDERS
Create an AI feedback survey bot using sentiment analysis,https://www.voiceflow.com/templates/ai-survey-bot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471a03c479ff43f5adfd_64c4264d535c4a2ec6ae0c57_survey.png,LOW CODE BUILDERS
Create an AI Support chatbot that sends tickets to Zendesk,https://www.voiceflow.com/templates/zendesk-tickets,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471a99781dc23f2fe35f_64b96fc594cd549e6e0ef0fe_zendesk%2520(1).png,LOW CODE BUILDERS
Create an advanced AI FAQ chatbot that recommends sources,https://www.voiceflow.com/templates/sources-recommender,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471abec48c791050f8cb_64b86370948367be1b1bc27c_zapier.png,LOW CODE BUILDERS
Create an AI Lead Generation Chatbot With Zapier and Voiceflow,https://www.voiceflow.com/templates/lead-gen-zapier,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471a0fd150d77f5bc304_64b5aa367c4c35a44feaffe5_API%2520summary.png,LOW CODE BUILDERS
"Use GPT and your own sources (PDFs, Docs, URLs) to create a chatbot",https://www.voiceflow.com/templates/gpt-knowledge-base-chatbot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471797d68df767ff1679_649a1496d323748b8bd1ceb0_Quick%2520Start%2520Guide%2520(1).png,NO CODE ENTHUSIASTS
Build a GPT powered chatbot for your Shopify store,https://www.voiceflow.com/templates/gpt-chatbot-shopify-store,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471597d68df767ff1594_6480e7d6c3f417e8afd83922_discord%2520image%2520(3).png,NO CODE ENTHUSIASTS
Use GPT to build a chatbot for your Bubble app,https://www.voiceflow.com/templates/gpt-chatbot-bubble,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471808b744d8bf429bb2_649dc971399dd6f1e7f6a306_Bubble%2520tutorial%2520template%2520image.png,NO CODE ENTHUSIASTS
Build a GPT-powered chatbot for your Wix store,https://www.voiceflow.com/templates/gpt-chatbot-wix,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d94718332fc805f1ec8dec_6480e9319357d40cfed95c82_discord%2520image%2520(2).png,LOW CODE BUILDERS
Build an AI analytics summary bot,https://www.voiceflow.com/templates/build-an-ai-analytics-summary-bot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471874f7cd98ee59a0b7_64a5c3edc273d9f691a8c174_API%2520summary-1.png,LOW CODE BUILDERS
AI feature recommender using your own documentation,https://www.voiceflow.com/templates/ai-recommender,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d94718cfc1e7e6c68cdb61_64a5b3e4dca33c597cdb3c3e_Advanced%2520FAQ-1.png,NO CODE ENTHUSIASTS
Create a self-hosted knowledge base with Langchain and Voiceflow,https://www.voiceflow.com/templates/kb-langchain-voiceflow,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471a8df3121f6a5e31df_64a6c856ef6e4af786e7aa11_API%2520summary-1.png,LOW CODE BUILDERS
Simple FAQ chatbot using your own data sources,https://www.voiceflow.com/templates/gpt-website-loader,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d94713e5135a6a8206402a_64a474f6493775a9e9b84f8e_Frame%252016%2520(2).png,DEVELOPERS
Advanced AI FAQ support bot powered by your own documentation,https://www.voiceflow.com/templates/gpt-chatbot-for-a-website-pdf-notion-ppt,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d94714332fc805f1ec8b7a_64a4839b7696360fef7289ef_Advanced%2520FAQ.png,NO CODE ENTHUSIASTS
Create a GPT Slackbot with Replit to search your internal docs,https://www.voiceflow.com/templates/gpt-slackbot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d94714603f0f6792a1440f_646fcc0c5415148d215223bc_Group%252051.png,NO CODE ENTHUSIASTS
Build a GPT Discord Bot with Replit and Voiceflow,https://www.voiceflow.com/templates/gpt-discord-bot,https://assets-global.website-files.com/5bec5cb06b362b0cf5ae9c36/64d9471564a930ca3ed5e6cd_6476401b49059f7901c06f82_discord%2520image.png,LOW CODE BUILDERS
