Title,Title_URL,serif
Elevating the app building experience,https://blog.airtable.com/new-app-building-features/,"New features to build, share, and connect your most critical apps.
"
What marketers can learn from supply chain management,https://blog.airtable.com/what-marketers-can-learn-from-supply-chain-management/,"Want to move faster and waste less? Take a page from global supply chains
"
What’s new in Airtable: September 2023,https://blog.airtable.com/whats-new-in-airtable-september-2023/,"Save and print PDFs, use an automation to update two-way syncs, and enhance your workflows with Airtable AI.
"
Everything you need to know about Airtable AI,https://blog.airtable.com/everything-you-need-to-know-about-airtable-ai/,"Get the details about our big new feature and start transforming your workflows.
"
Four tips for campaign planning: advice from marketing leaders,https://blog.airtable.com/4-marketing-leaders-share-tips-for-campaign-planning/,"See how today’s marketers plan with their teams in our latest ebook.
"
Powerful new features to govern and scale with ease,https://blog.airtable.com/new-enterprise-features-to-govern-and-scale/,"Enhanced security, Airtable AI, and more
"
Content operations best practices: Create stronger content at scale,https://blog.airtable.com/content-operations-best-practices/,"The strongest content is created via seamless, cross-functional collaboration.
"
What’s new in Airtable: August 2023,https://blog.airtable.com/whats-new-in-airtable-august-2023/,"This month’s product updates include new ways to get work done.
"
How to build a DAM in Airtable,https://blog.airtable.com/how-to-build-a-dam-in-airtable/,"House your digital assets and leverage them in innovative ways.
"
Why your content marketing team needs a DAM,https://blog.airtable.com/why-your-content-marketing-team-needs-a-dam/,"Stash your assets somewhere you can always find them.
"
How to choose interface layouts,https://blog.airtable.com/how-to-choose-interface-layouts/,"Getting started with Interface Designer is as simple as picking from the list of predesigned layouts.
"
"All your interface designer layout questions, answered.",https://blog.airtable.com/all-your-interface-designer-layout-questions-answered/,"Six questions from our recent webinar.
"
How to design an effective relational database,https://blog.airtable.com/how-to-design-an-effective-relational-database/,"Get the most use out of your database with these four design tips.
"
What’s new in Airtable: July 2023,https://blog.airtable.com/whats-new-in-airtable-july-2023/,"Star your favorite apps on your home screen, update the status of projects with the new progress bar, and more.
"
Database vs. spreadsheet: which is better?,https://blog.airtable.com/database-vs-spreadsheet/,"Picking the right tool for your business requires understanding how (and why) they differ.
"
Track your work with progress bars,https://blog.airtable.com/track-your-work-with-progress-bars/,"Check the status of tasks and projects at a glance.
"
What is low-code?,https://blog.airtable.com/what-is-low-code/,"Low-code and no-code development platforms empower organizations to build the software they need.
"
More Airtable views for content marketing teams,https://blog.airtable.com/more-airtable-views-for-content-marketing/,"Uplevel production, team management, and asset reviews with unique ways to see your work.
"
How to use the IF function in Airtable formulas,https://blog.airtable.com/how-to-use-the-if-function-in-airtable-formulas/,"Test your inputs with the great and powerful “IF.”
"
What’s new in Airtable: June 2023,https://blog.airtable.com/whats-new-in-airtable-june-2023/,"Track records across timelines, customize interface forms, and more.
"
The best Airtable views for content marketing,https://blog.airtable.com/the-best-airtable-views-for-content-marketing/,"Create and publish compelling blogs, videos, and more with different ways to see your work.
"
How to manage booking at scale,https://blog.airtable.com/how-to-make-a-simple-booking-system/,"Streamline online appointment booking for clients, colleagues, and yourself.
"
